username,password,name,gender,birth_date,birth_place,email,phone_number,created_at,is_deleted
shawnawhite,*w65M3%Vx)Pi,Rickey Jones,female,1970-03-14,Port Madisonland,yrice@example.com,(+676) 07874960,2021-08-11 14:18:47.472293,False
bradley50,VZw2bPdkH+#),Colleen Hanna,male,2005-06-21,Michaelside,amandaskinner@example.org,(+359) 621296,2024-06-27 00:37:36.111002,False
gweaver,0hvtFbXe*3i7,Troy Marshall,male,1943-12-29,North Haley,christopherwashington@example.org,(+850) 59276291,2020-04-17 00:04:55.513302,False
brussell,m__L+kQa!n6R,Nicole Mueller,male,1928-07-05,Padillafort,steven08@example.net,(+500) 40126701,2021-11-02 15:01:25.103029,False
hcollins,3QU*JHyx)pnv,Paul Jackson,male,1953-10-09,North Anthony,wmaldonado@example.net,(+1 808) 2755,2023-12-26 04:55:32.220950,False
lopezerin,_y0YnPx3j7a3,Angel Baker,male,1948-10-11,Joshuamouth,mooreernest@example.net,(+264) 00052187,2024-10-23 12:56:54.489195,False
pennymurphy,2_7&7^2keK70,Derek Parrish,female,1980-11-13,West Ethanview,kathleen33@example.net,(+82) 37180152,2022-08-26 08:01:52.711102,False
icoleman,#D*Clx@x32rI,Andrea Cobb,male,1954-10-09,West Anthony,wallsnicholas@example.org,(+963) 1689257,2024-01-02 08:59:15.678440,False
johnmata,Z9iNJs53Ij(),Joshua Diaz,female,1960-09-16,Morenomouth,johnjames@example.net,(+212) 6608304,2023-01-13 11:26:15.786761,False
rmurray,J8AxriUl^f8*,Christine Graham,female,1989-10-29,North Michaelstad,nancyvelazquez@example.com,(+242) 7068907,2024-06-13 03:39:46.721854,False
